N.orig	merkki.orig	N.korjattu	merkki.korjattu
283		289	
6	KS. HUOM.	289	
4	AC	4	AC
28	ACADIAN	28	ACADIAN
12	Acura	55	ACURA
43	ACURA	55	ACURA
4	Adler	40	ADLER
36	ADLER	40	ADLER
6	ADLER TRUMPF	6	ADLER TRUMPF
6229	Adria	6947	ADRIA
17	ADRIA	6947	ADRIA
673	Adria Mobil	6947	ADRIA
28	ADRIA MOBIL	6947	ADRIA
6	ADRIA-FIAT	6	ADRIA-FIAT
32885	Alfa Romeo	32885	ALFA ROMEO
6	Allard	18	ALLARD
12	ALLARD	18	ALLARD
20	Alpina	140	ALPINA
120	ALPINA	140	ALPINA
6	Alpine	6	ALPINE
3	ALPINE RENAULT	3	ALPINE RENAULT
12	Alvis	18	ALVIS
6	ALVIS	18	ALVIS
77	AMC	77	AMC
4	AMC JAVELIN	4	AMC JAVELIN
6	Ameise	6	AMEISE
147	American	147	AMERICAN
4	American La France	4	AMERICAN LA FRANCE
6	AM General	6	AM GENERAL
6	AMPHICAR	6	AMPHICAR
4	Apollo	4	APOLLO
4	Armstrong	10	ARMSTRONG
6	ARMSTRONG	10	ARMSTRONG
12	ARMSTRONG SIDD	30	ARMSTRONG-SIDDELEY
6	ARMSTRONG SIDDE	30	ARMSTRONG-SIDDELEY
6	Armstrong-Siddeley	30	ARMSTRONG-SIDDELEY
6	Armstrong Siddeley	30	ARMSTRONG-SIDDELEY
1	ASTON-MARTIN	137	ASTON-MARTIN
90	Aston Martin	137	ASTON-MARTIN
46	ASTON MARTIN	137	ASTON-MARTIN
6	Auburn	37	AUBURN
31	AUBURN	37	AUBURN
671139	Audi	671139	AUDI
6	Audi-Porsche	14	AUDI-PORSCHE
4	AUDI-PORSCHE	14	AUDI-PORSCHE
4	AUDI PORSCHE	14	AUDI-PORSCHE
6	AUDI TT	6	AUDI TT
1541	Austin	1541	AUSTIN
8	Austin-Cooper	83	AUSTIN-COOPER
18	AUSTIN-COOPER	83	AUSTIN-COOPER
57	AUSTIN COOPER	83	AUSTIN-COOPER
48	Austin-Healey	315	AUSTIN-HEALEY
258	AUSTIN-HEALEY	315	AUSTIN-HEALEY
9	AUSTIN HEALEY	315	AUSTIN-HEALEY
6	Austin-Mini	6	AUSTIN-MINI
5	Austin Rover	17	AUSTIN ROVER
12	AUSTIN ROVER	17	AUSTIN ROVER
30	Autobianchi	30	AUTOBIANCHI
4	Autocaravans Rimor	253	AUTOCARAVANS RIMOR
13	AUTOCARAVANS RIMOR	253	AUTOCARAVANS RIMOR
232	Autocaravans Rimor S.p.A	253	AUTOCARAVANS RIMOR
4	AUTOCARAVANS RIMOR S.p.A	253	AUTOCARAVANS RIMOR
6	AUTO-CUBY	6	AUTO-CUBY
225	Auto-Union	225	AUTO-UNION
4	AUWAERTER	4	AUWAERTER
192	AWE	192	AWE
1	AWZ	1	AWZ
6	AWZ/ZWICKAU	6	AWZ-ZWICKAU
6	BACI	6	BACI
6	BARKAS-VEB	6	BARKAS-VEB
20	Bedford	20	BEDFORD
6	BEDFORD-HYMER	6	BEDFORD-HYMER
517	Bentley	517	BENTLEY
6	Berkeley	6	BERKELEY
3	Bertone	3	BERTONE
6	BEZ MARKI KLAN	6	BEZ MARKI KLAN
63	Binz	99	BINZ
36	BINZ	99	BINZ
6	BL CARS (GB)	6	BL CARS
12	BLMC	12	BLMC
3	BAYER.MOT.WERKE-BMW	587067	BMW
587064	BMW	587067	BMW
2	BMW / ALPINA	67	BMW-ALPINA
27	BMW-ALPINA	67	BMW-ALPINA
14	BMW/ALPINA	67	BMW-ALPINA
16	BMW Alpina	67	BMW-ALPINA
8	BMW ALPINA	67	BMW-ALPINA
73	BMW i	73	BMW I
4	BMW M3	4	BMW M3
2	BMW Motorsport	2	BMW MOTORSPORT
6	BOND	6	BOND
34	Borgward	146	BORGWARD
112	BORGWARD	146	BORGWARD
7	Bova	7	BOVA
5	Bricklin	11	BRICKLIN
6	BRICKLIN	11	BRICKLIN
6	BROUGH SUPERIOR	6	BROUGH SUPERIOR
6	Bugatti	12	BUGATTI
6	BUGATTI	12	BUGATTI
3957	Buick	3961	BUICK
4	Buick (GMC)	3961	BUICK
6	BUICK SPECIAL	6	BUICK SPECIAL
2	Buerstner GmbH	1723	BURSTNER
1541	Burstner	1723	BURSTNER
19	Bürstner	1723	BURSTNER
3	BÜRSTNER	1723	BURSTNER
156	Burstner GmbH	1723	BURSTNER
2	Bürstner GmbH	1723	BURSTNER
9989	Cadillac	9989	CADILLAC
6	CAMI	6	CAMI
4	Caprion-Ford	4	CAPRION-FORD
2846	Capron	2868	CAPRON
22	CAPRON	2868	CAPRON
4	CARADO	4	CARADO
9	CARAVANS INTERN	9	CARAVANS INTERN
16	Carbodies	34	CARBODIES
18	CARBODIES	34	CARBODIES
34	CARLSSON	34	CARLSSON
271	Carthago	301	CARTHAGO
30	CARTHAGO	301	CARTHAGO
24	Caterham	63	CATERHAM
39	CATERHAM	63	CATERHAM
6	CEVROLET NIVA	6	CEVROLET NIVA
2	Chateau	2	CHATEAU
17	Chausson	21	CHAUSSON
4	CHAUSSON	21	CHAUSSON
6	Checker	17	CHECKER
11	CHECKER	17	CHECKER
103057	Chevrolet	103057	CHEVROLET
4	CHEVROLET-AIREX	4	CHEVROLET-AIREX
6	Chevrolet-Cobra	6	CHEVROLET-COBRA
7	CHEVROLET-CURTI	7	CHEVROLET-CURTI
21	Chevrolet Daewoo	21	CHEVROLET DAEWOO
4	CHEVROLET-GEO	4	CHEVROLET-GEO
1	Chevrolet-Starcraft	1	CHEVROLET-STARCRAFT
123230	Chrysler	123230	CHRYSLER
6	Chrysler Lancia	6	CHRYSLER LANCIA
67	Chrysler-Sunbeam	67	CHRYSLER-SUNBEAM
12	CI	12	CI
4	CI-CARAVANS	4	CI-CARAVANS
31	CI-FIAT	31	CI-FIAT
450880	Citroen	450880	CITROEN
1	CITROEN- BÜRSTNER	5	CITROEN-BURSTNER
4	CITROEN-BURSTNE	5	CITROEN-BURSTNER
1	Citroën-Burstner	1	CITROËN-BURSTNER
17	CITROEN-DETHLEF	108	CITROEN-DETHLEFFS
4	CITROEN-DETHLEFFS	108	CITROEN-DETHLEFFS
52	CITROEN/DETHLEF	108	CITROEN-DETHLEFFS
4	Citroen/Dethleffs	108	CITROEN-DETHLEFFS
15	CITROEN/DETHLEFFS	108	CITROEN-DETHLEFFS
16	CITROEN DETHLEF	108	CITROEN-DETHLEFFS
25	Citroen-Dethleffs/Globecar	25	CITROEN-DETHLEFFS-GLOBECAR
4	CITROEN- GIOTTILINE	9	CITROEN-GIOTTILINE
5	Citroen-Giottiline	9	CITROEN-GIOTTILINE
6	CITROEN-GLOBECA	6	CITROEN-GLOBECA
54	CITROEN-HYMER	54	CITROEN-HYMER
6	Citroen-La Strada	6	CITROEN-LA STRADA
2	CITROEN-LMC	2	CITROEN-LMC
4	CITROEN-MOBI	4	CITROEN-MOBI
24	CITROEN-MOOVEO	24	CITROEN-MOOVEO
9	CITROEN-PILOTE	9	CITROEN-PILOTE
249	Citroen-Pössl	461	CITROEN-PÖSSL
197	CITROEN-PÖSSL	461	CITROEN-PÖSSL
15	CITROEN PÖSSL	461	CITROEN-PÖSSL
6	CITROEN SOLIFER	6	CITROEN SOLIFER
6	commer	40	COMMER
27	Commer	40	COMMER
7	COMMER	40	COMMER
6	COMMERCE	6	COMMERCE
101	Concorde	109	CONCORDE
8	CONCORDE	109	CONCORDE
12	CONTINENTAL	12	CONTINENTAL
12	CORD	12	CORD
6	Crestmobile	6	CRESTMOBILE
6	CROSLEY	6	CROSLEY
30111	Dacia	30111	DACIA
6301	Daewoo	17218	DAEWOO
10917	GM Daewoo	17218	DAEWOO
146	DAF	146	DAF
4301	Daihatsu	4301	DAIHATSU
333	Daimler	333	DAIMLER
54	DAIMLER-BENZ	54	DAIMLER-BENZ
2	DAIMLER-BENZ-DE	2	DAIMLER-BENZ-DE
448	DaimlerChrysler	546	DAIMLERCHRYSLER
98	DAIMLERCHRYSLER	546	DAIMLERCHRYSLER
5	DaimlerChrysler-Hymer	5	DAIMLERCHRYSLER-HYMER
2	DAIMLERCHYSLER	2	DAIMLERCHYSLER
3	DAIMLER GHRYSLER	3	DAIMLER GHRYSLER
6363	Datsun	6363	DATSUN
15237	Datsun-Nissan	15237	DATSUN-NISSAN
6	Davrian	6	DAVRIAN
2	D-C  AHORN	2	D-C AHORN
1	De Dion-Bouton	1	DE DION-BOUTON
2	DeLorean	38	DELOREAN
10	De Lorean	38	DELOREAN
26	DE LOREAN	38	DELOREAN
2	desoto	299	DESOTO
9	Desoto	299	DESOTO
6	DeSoto	299	DESOTO
66	DESOTO	299	DESOTO
45	De Soto	299	DESOTO
171	DE SOTO	299	DESOTO
3121	Dethleffs	3127	DETHLEFFS
6	DETHLEFFS	3127	DETHLEFFS
8	DeTomaso	37	DETOMASO
2	DETOMASO	37	DETOMASO
1	De Tomaso	37	DETOMASO
26	DE TOMASO	37	DETOMASO
11	DEUTSCHE FIAT	11	DEUTSCHE FIAT
11	DIAMOND	11	DIAMOND
103	DKW	103	DKW
31522	Dodge	31522	DODGE
2	Dodge-Ajokki	2	DODGE-AJOKKI
2	Dodge Brothers	20	DODGE BROTHERS
18	DODGE BROTHERS	20	DODGE BROTHERS
7	Dodge-Eura-Mobil	7	DODGE-EURA-MOBIL
38	DONAU	38	DONAU
2	DONKERVOORT	2	DONKERVOORT
6	DREAM	6	DREAM
2	Dreamer	2	DREAMER
106	DS	106	DS
6	DUAL GHIA	6	DUAL GHIA
6	Durant	18	DURANT
12	DURANT	18	DURANT
3	Eagle	44	EAGLE
41	EAGLE	44	EAGLE
57	Edsel	116	EDSEL
59	EDSEL	116	EDSEL
3	Eka	3	EKA
6	ELEGANT	6	ELEGANT
233	Elnagh	614	ELNAGH
381	ELNAGH	614	ELNAGH
77	EMW	77	EMW
6	Era	19	ERA
13	ERA	19	ERA
12	ERSKINE	12	ERSKINE
6	essex	53	ESSEX
10	Essex	53	ESSEX
37	ESSEX	53	ESSEX
7	Eunos	7	EUNOS
4	EURAMOBIL	171	EURAMOBIL
107	Eura Mobil	171	EURAMOBIL
49	EURA MOBIL	171	EURAMOBIL
11	EURA MOBIL GMBH	171	EURAMOBIL
4	EURA MOBIL - FIAT	4	EURA MOBIL-FIAT
2	EVANTE	2	EVANTE
23	Fargo	29	FARGO
6	FARGO	29	FARGO
68	Fendt	74	FENDT
6	FENDT	74	FENDT
3	Fendt-Caravan Gmbh	3	FENDT-CARAVAN
1001	Ferrari	1001	FERRARI
6	Festfalia Mobil	6	FESTFALIA MOBIL
318565	Fiat	318571	FIAT
6	FIAT (I)	318571	FIAT
4	FIAT 230	4	FIAT 230
4	FIAT 230BLMCC	4	FIAT 230BLMCC
4	FIAT ABMAA	4	FIAT ABMAA
5577	Fiat-Adria	5652	FIAT-ADRIA
54	FIAT/ADRIA	5652	FIAT-ADRIA
21	FIAT ADRIA	5652	FIAT-ADRIA
300	FIAT-ADRIAMOBIL	1195	FIAT-ADRIAMOBIL
6	FIAT / ADRIA MOBIL	1195	FIAT-ADRIAMOBIL
883	Fiat-Adria Mobil	1195	FIAT-ADRIAMOBIL
6	FIAT-ADRIA MOBIL	1195	FIAT-ADRIAMOBIL
1874	Fiat-Adriatik	1887	FIAT-ADRIATIK
6	FIAT/ADRIATIK	1887	FIAT-ADRIATIK
7	FIAT ADRIATIK	1887	FIAT-ADRIATIK
75	FIAT-AHORN	77	FIAT-AHORN
2	FIAT/AHORN	77	FIAT-AHORN
10	FIAT-AHORN CAMP	10	FIAT-AHORN CAMP
3	FIAT-ALBATROS	3	FIAT-ALBATROS
6	FIAT-ALPHA	6	FIAT-ALPHA
27	FIAT-ARCA	27	FIAT-ARCA
19	Fiat-Arto	142	FIAT-ARTO
123	FIAT-ARTO	142	FIAT-ARTO
4	FIAT-AUTO ROLLE	82	FIATAUTOROLLER
2	FIAT-AUTO-ROLLE	82	FIATAUTOROLLER
73	FIAT-AUTOROLLER	82	FIATAUTOROLLER
3	FIAT-AUTO ROLLER	82	FIATAUTOROLLER
1	FIAT-AUTOTROLLE	1	FIAT-AUTOTROLLE
9	FIAT-BAVARIA	9	FIAT-BAVARIA
3	FIAT-BEISL	3	FIAT-BEISL
4	FIAT BENIMAR 1	4	FIAT BENIMAR 1
6	Fiat-Bertone	6	FIAT-BERTONE
2	Fiat -Bürstner	6759	FIAT-BURSTNER
2	FIAT-BUERSTNER	6759	FIAT-BURSTNER
6275	Fiat-Burstner	6759	FIAT-BURSTNER
6	FIAT-BURSTNER	6759	FIAT-BURSTNER
220	Fiat-Bürstner	6759	FIAT-BURSTNER
12	FIAT-BüRSTNER	6759	FIAT-BURSTNER
225	FIAT-BÜRSTNER	6759	FIAT-BURSTNER
4	FIAT-BURTSNER	6759	FIAT-BURSTNER
2	Fiat-Bürtsner	6759	FIAT-BURSTNER
11	FIAT BURSTNER	6759	FIAT-BURSTNER
14	Fiat-Cabby	14	FIAT-CABBY
4	FIAT-CAMPERWAY	4	FIAT-CAMPERWAY
305	Fiat-Capron	478	FIAT-CAPRON
149	FIAT-CAPRON	478	FIAT-CAPRON
3	FIAT/ CAPRON	478	FIAT-CAPRON
18	Fiat Capron	478	FIAT-CAPRON
3	FIAT CAPRON	478	FIAT-CAPRON
339	Fiat-Carado	339	FIAT-CARADO
2	FIAT-CARAVANS	2	FIAT-CARAVANS
29	FIAT-CARIOCA	32	FIAT-CARIOCA
3	FIAT CARIOCA	32	FIAT-CARIOCA
507	Fiat-Carthago	625	FIAT-CARTHAGO
104	FIAT-CARTHAGO	625	FIAT-CARTHAGO
2	FIAT/CARTHAGO	625	FIAT-CARTHAGO
12	FIAT CARTHAGO	625	FIAT-CARTHAGO
39	Fiat-Casa	39	FIAT-CASA
2	FIAT-CHALLEGER	378	FIAT-CHALLENGER
74	Fiat-Challenger	378	FIAT-CHALLENGER
264	FIAT-CHALLENGER	378	FIAT-CHALLENGER
19	FIAT/CHALLENGER	378	FIAT-CHALLENGER
19	FIAT CHALLENGER	378	FIAT-CHALLENGER
11	FIAT-CHATEAU	11	FIAT-CHATEAU
73	Fiat-Chausson	310	FIAT-CHAUSSON
221	FIAT-CHAUSSON	310	FIAT-CHAUSSON
